left_model,left_prompt,right_model,right_prompt,left_family,right_family,relation,n,n11,n10,n01,n00,joint_error_rate,conditional_coerror_left_to_right,conditional_coerror_right_to_left,conditional_coerror_symmetric,error_phi,error_cooccurrence_lift
qwen3vl_32b,wrapper_paraphrase,internvl3_8b,rules_first,Qwen3-VL,InternVL3,between_family,84,13,2,1,68,0.15476190476190477,0.8666666666666667,0.9285714285714286,0.8976190476190476,0.875760539039714,5.2
qwen3vl_32b,wrapper_paraphrase,internvl3_8b,schema_first,Qwen3-VL,InternVL3,between_family,84,10,5,10,59,0.11904761904761904,0.6666666666666666,0.5,0.5833333333333333,0.4691574316284182,2.8
qwen3vl_32b,wrapper_paraphrase,llava_onevision_7b,canonical,Qwen3-VL,LLaVA-OneVision,between_family,84,13,2,30,39,0.15476190476190477,0.8666666666666667,0.3023255813953488,0.5844961240310078,0.3309109909001108,1.6930232558139537
qwen3vl_32b,wrapper_paraphrase,llava_onevision_7b,wrapper_paraphrase,Qwen3-VL,LLaVA-OneVision,between_family,84,13,2,29,40,0.15476190476190477,0.8666666666666667,0.30952380952380953,0.5880952380952381,0.34191842968811503,1.7333333333333334
qwen3vl_32b,wrapper_paraphrase,llava_onevision_7b,rules_first,Qwen3-VL,LLaVA-OneVision,between_family,84,13,2,43,26,0.15476190476190477,0.8666666666666667,0.23214285714285715,0.549404761904762,0.1978141420187361,1.3
qwen3vl_32b,wrapper_paraphrase,llava_onevision_7b,schema_first,Qwen3-VL,LLaVA-OneVision,between_family,84,13,2,36,33,0.15476190476190477,0.8666666666666667,0.2653061224489796,0.5659863945578232,0.2679575381212942,1.4857142857142858
qwen3vl_32b,rules_first,qwen3vl_32b,schema_first,Qwen3-VL,Qwen3-VL,within_family,84,9,0,8,67,0.10714285714285714,1.0,0.5294117647058824,0.7647058823529411,0.6877071880317874,4.9411764705882355
qwen3vl_32b,rules_first,internvl3_8b,canonical,Qwen3-VL,InternVL3,between_family,84,7,2,20,55,0.08333333333333333,0.7777777777777778,0.25925925925925924,0.5185185185185185,0.33849160236106673,2.4197530864197527
qwen3vl_32b,rules_first,internvl3_8b,wrapper_paraphrase,Qwen3-VL,InternVL3,between_family,84,7,2,39,36,0.08333333333333333,0.7777777777777778,0.15217391304347827,0.46497584541062803,0.16018677123317115,1.4202898550724636
qwen3vl_32b,rules_first,internvl3_8b,rules_first,Qwen3-VL,InternVL3,between_family,84,7,2,7,68,0.08333333333333333,0.7777777777777778,0.5,0.6388888888888888,0.5680375574437544,4.666666666666667
