setting_id,language_pmax,dirichlet_kappa,quality_multiplier,conflict_multiplier,occlusion_strength,records,dirichlet_projection_fallbacks,nested_naurc,registered_naurc,naurc_gain,ranking_preserved,nested_coverage,nested_wrong_all,nested_wrong_admitted,nested_correct_all,nested_clean_coverage,registered_coverage,registered_wrong_all,registered_wrong_admitted,registered_correct_all,registered_clean_coverage,copy_mass_max_abs_drift,unoccluded_runtime_sha256,nested_clean_none_coverage,nested_clean_none_correct_all,nested_clean_none_wrong_all,nested_clean_partial_coverage,nested_clean_partial_correct_all,nested_clean_partial_wrong_all
102,0.85,50.0,1.1764275468885899,1.0615449272096158,1.0,31200,0,0.12905810639018425,0.22912820454718638,0.10007009815700213,True,0.13157051282051282,0.000673076923076923,0.005115712545676005,0.1308974358974359,0.84875,0.13083333333333333,0.010961538461538462,0.08378245957863792,0.11987179487179488,0.7545833333333334,1.4210854715202004e-14,3d836c6209af73c1bc16eb10c3313501af9e4fcdf41c4009e831a416a703fe7c,0.9641666666666666,0.9566666666666667,0.0075,0.7333333333333333,0.7275,0.005833333333333334
103,0.65,100.0,0.8038496930152178,0.8338261656463146,1.0,31200,0,0.15952177063570738,0.2324494826927464,0.07292771205703902,True,0.13118589743589743,0.007692307692307693,0.058636696799413635,0.12349358974358975,0.8679166666666667,0.13150641025641024,0.01467948717948718,0.11162563977577382,0.11682692307692308,0.7079166666666666,1.4210854715202004e-14,c23e55562f5b33565651172b2a71875ac1b3bdca8e4ac375e337aafc280a5cbf,0.9691666666666666,0.9225,0.04666666666666667,0.7666666666666667,0.7091666666666666,0.0575
104,0.65,100.0,1.1594142016023399,0.999187007918954,1.0,31200,0,0.19245650277709198,0.25310547730320226,0.06064897452611029,True,0.13121794871794873,0.012307692307692308,0.09379579872984856,0.1189102564102564,0.8491666666666666,0.13102564102564102,0.019006410256410255,0.1450587084148728,0.11201923076923077,0.6916666666666667,1.4210854715202004e-14,4b3d6fd77561f42652e02a01d0eef277b027288201bf337f8968eb7d54157e98,0.9775,0.8691666666666666,0.10833333333333334,0.7208333333333333,0.6475,0.07333333333333333
105,0.9,200.0,0.8321850836277008,1.1214805070310832,1.0,31200,0,0.10842625167409921,0.18484551248618641,0.0764192608120872,True,0.13147435897435897,0.00022435897435897436,0.0017064846416382253,0.13125,0.8483333333333334,0.1309294871794872,0.010608974358974359,0.0810281517747858,0.12032051282051281,0.7608333333333334,1.4210854715202004e-14,cf915fdf7aa182480fdfa44afef620f0facf007d1ba5cd7af5f6667d44e48357,0.97,0.97,0.0,0.7266666666666667,0.7266666666666667,0.0
106,0.95,50.0,1.024969421327114,0.8018383651971818,1.0,31200,0,0.12104551017110772,0.2140080583317492,0.09296254816064149,True,0.13083333333333333,0.00016025641025641026,0.001224889759921607,0.13067307692307692,0.8529166666666667,0.13131410256410256,0.010352564102564103,0.07883817427385892,0.12096153846153847,0.7633333333333333,1.4210854715202004e-14,400c26c441cbed7d194d28c56f332f7101a60636e675b7fcd62b2966c205f495,0.9541666666666667,0.9525,0.0016666666666666668,0.7516666666666667,0.7508333333333334,0.0008333333333333334
107,0.75,100.0,0.9959328901022673,1.081107419729233,1.0,31200,0,0.12491881248533496,0.21365379869166537,0.08873498620633041,True,0.13105769230769232,0.0015705128205128205,0.0119833700171191,0.1294871794871795,0.8445833333333334,0.13115384615384615,0.010897435897435897,0.08308895405669599,0.12025641025641026,0.7579166666666667,1.4210854715202004e-14,a2844d77bce44b69089bf85ed4be7555121d14ffe9c2ea2346a3b0de2cea7bd6,0.9691666666666666,0.9491666666666667,0.02,0.72,0.7175,0.0025
108,0.75,50.0,0.8569277189671993,1.019845698773861,1.0,31200,0,0.12710193302762499,0.21920216735107995,0.09210023432345496,True,0.13105769230769232,0.002307692307692308,0.01760821716801174,0.12875,0.8533333333333334,0.13112179487179487,0.011666666666666667,0.08897580053776583,0.1194551282051282,0.7570833333333333,1.4210854715202004e-14,39d5c54700f57789d46691cb03181c8497d063bbaddce3afaecbc2401372d66f,0.975,0.9658333333333333,0.009166666666666667,0.7316666666666667,0.72,0.011666666666666667
109,0.95,100.0,1.1358417961746454,0.8975957289338112,1.0,31200,0,0.1193641292298268,0.20578617648338055,0.08642204725355375,True,0.1308653846153846,3.205128205128205e-05,0.0002449179524859172,0.13083333333333333,0.86,0.13131410256410256,0.010096153846153847,0.07688552599463022,0.12121794871794872,0.7666666666666667,1.4210854715202004e-14,fa5d6f40506c5d76bfc6a3132161f953930229c45f33bc14334cb913379e82af,0.97,0.97,0.0,0.75,0.75,0.0
110,0.9,100.0,0.9212133605033159,1.179519532993436,1.0,31200,0,0.11168304094938894,0.19329072136324382,0.08160768041385488,True,0.13105769230769232,0.0,0.0,0.13105769230769232,0.8383333333333334,0.13102564102564102,0.010608974358974359,0.08096868884540118,0.12041666666666667,0.7708333333333334,1.4210854715202004e-14,dcb00fefc3bb46c8fb601e00eec26e0797c24098ed9e3b6249c8d77f5adf5f1c,0.97,0.97,0.0,0.7066666666666667,0.7066666666666667,0.0
111,0.65,200.0,1.098515335470438,0.900207032635808,1.0,31200,0,0.15982785941848926,0.23346906363352662,0.07364120421503736,True,0.13121794871794873,0.00733974358974359,0.05593551538837323,0.12387820512820513,0.8583333333333333,0.13105769230769232,0.013814102564102563,0.1054047444362925,0.11724358974358974,0.7266666666666667,1.4210854715202004e-14,ac756cb01c7603dfd3a3b189957785a74edac6886f47a0131fa0ee6582c6d8c1,0.9791666666666666,0.93,0.049166666666666664,0.7375,0.6933333333333334,0.04416666666666667
