pair_id,score,edge_id,fine_partition,coarse_partition,fine_components,coarse_components,merged_blocks,mean_budget_delta,ncsAURC_delta,direction
HandWritten-Mfeat__TMC,native_nonvacuity,E140,P049,P032,4,3,1+2,-5.435672724570271,0.06818118498229946,coarsening_worsens
HandWritten-Mfeat__TMC,native_nonvacuity,E141,P049,P037,4,3,0+3,-1.1984291667669886,-0.0015995154188704823,coarsening_improves
HandWritten-Mfeat__TMC,native_nonvacuity,E142,P049,P041,4,3,1+3,-5.5231765499404855,0.05243048027661421,coarsening_worsens
HandWritten-Mfeat__TMC,native_nonvacuity,E143,P049,P045,4,3,2+3,-0.9754785032055802,-0.00022627890166905616,coarsening_improves
HandWritten-Mfeat__TMC,native_nonvacuity,E144,P050,P013,4,3,0+1,-5.2244981859899235,0.10774591757968326,coarsening_worsens
HandWritten-Mfeat__TMC,native_nonvacuity,E145,P050,P023,4,3,0+2,-1.2998035520133424,-0.00175439460504654,coarsening_improves
HandWritten-Mfeat__TMC,native_nonvacuity,E146,P050,P033,4,3,1+2,-5.5676346422148715,0.06235628066933994,coarsening_worsens
HandWritten-Mfeat__TMC,native_nonvacuity,E147,P050,P035,4,3,0+3,-0.8911990292486154,-0.001586613540935775,coarsening_improves
HandWritten-Mfeat__TMC,native_nonvacuity,E148,P050,P040,4,3,1+3,-5.4452923391292565,0.10654505824532999,coarsening_worsens
HandWritten-Mfeat__TMC,native_nonvacuity,E149,P050,P045,4,3,2+3,-1.159922665296821,-0.0014429441918822634,coarsening_improves
HandWritten-Mfeat__TMC,native_nonvacuity,E150,P051,P014,5,4,0+1,-5.224498185989924,0.04807082023504053,coarsening_worsens
HandWritten-Mfeat__TMC,native_nonvacuity,E151,P051,P024,5,4,0+2,-1.2998035520133424,-0.003026148960374456,coarsening_improves
HandWritten-Mfeat__TMC,native_nonvacuity,E152,P051,P034,5,4,1+2,-5.5676346422148715,0.030589980950985786,coarsening_worsens
HandWritten-Mfeat__TMC,native_nonvacuity,E153,P051,P038,5,4,0+3,-1.1984291667669895,-0.0026060621122565176,coarsening_improves
HandWritten-Mfeat__TMC,native_nonvacuity,E154,P051,P042,5,4,1+3,-5.523176549940487,0.04629393440035221,coarsening_worsens
HandWritten-Mfeat__TMC,native_nonvacuity,E155,P051,P046,5,4,2+3,-1.4496276539710822,-0.00024917459165220163,coarsening_improves
HandWritten-Mfeat__TMC,native_nonvacuity,E156,P051,P047,5,4,0+4,-1.5976795312149923,-0.0019967840277041286,coarsening_improves
HandWritten-Mfeat__TMC,native_nonvacuity,E157,P051,P048,5,4,1+4,-6.035936104806839,0.0394165498492243,coarsening_worsens
HandWritten-Mfeat__TMC,native_nonvacuity,E158,P051,P049,5,4,2+4,-1.7227039876179777,-0.0010000303817159955,coarsening_improves
HandWritten-Mfeat__TMC,native_nonvacuity,E159,P051,P050,5,4,3+4,-1.5382598255267368,0.00021663490849721176,coarsening_worsens
HandWritten-Mfeat__TMC,native_nonvacuity,E160,P052,P000,2,1,0+1,-0.7963170262803108,0.26916402867865763,coarsening_worsens
HandWritten-Mfeat__TMC,native_nonvacuity,E161,P053,P000,2,1,0+1,-0.36410203448587714,0.33992826144097493,coarsening_worsens
HandWritten-Mfeat__TMC,native_nonvacuity,E162,P054,P001,3,2,0+1,-0.8139099231706712,0.2562870693545727,coarsening_worsens
HandWritten-Mfeat__TMC,native_nonvacuity,E163,P054,P052,3,2,0+2,-1.2379992432126308,-0.0619952380166664,coarsening_improves
HandWritten-Mfeat__TMC,native_nonvacuity,E164,P054,P053,3,2,1+2,-1.6702142350070646,-0.1327594707789837,coarsening_improves
HandWritten-Mfeat__TMC,native_nonvacuity,E165,P055,P000,2,1,0+1,-0.2639994841097287,0.41206844496930006,coarsening_worsens
HandWritten-Mfeat__TMC,native_nonvacuity,E166,P056,P000,2,1,0+1,-0.6016249640011593,0.4184516390159474,coarsening_worsens
HandWritten-Mfeat__TMC,native_nonvacuity,E167,P057,P001,3,2,0+1,-0.6144802097003339,0.4069557646494072,coarsening_worsens
HandWritten-Mfeat__TMC,native_nonvacuity,E168,P057,P055,3,2,0+2,-1.5708870719128756,-0.05423095901247435,coarsening_improves
HandWritten-Mfeat__TMC,native_nonvacuity,E169,P057,P056,3,2,1+2,-1.233261592021445,-0.060614153059121656,coarsening_improves
HandWritten-Mfeat__TMC,native_nonvacuity,E170,P058,P002,3,2,0+1,-0.8247755228244713,0.013298299698099675,coarsening_worsens
HandWritten-Mfeat__TMC,native_nonvacuity,E171,P058,P052,3,2,0+2,-0.8235480584231553,0.12035767016657259,coarsening_worsens
HandWritten-Mfeat__TMC,native_nonvacuity,E172,P058,P055,3,2,1+2,-1.3558656005937373,-0.022546746124069844,coarsening_improves
HandWritten-Mfeat__TMC,native_nonvacuity,E173,P059,P002,3,2,0+1,-0.7254483597302823,0.08595507391227471,coarsening_worsens
HandWritten-Mfeat__TMC,native_nonvacuity,E174,P059,P053,3,2,0+2,-1.1564358871233997,0.12225021161843032,coarsening_worsens
HandWritten-Mfeat__TMC,native_nonvacuity,E175,P059,P056,3,2,1+2,-0.9189129576081178,0.04372683404345788,coarsening_worsens
HandWritten-Mfeat__TMC,native_nonvacuity,E176,P060,P003,3,2,0+1,-1.0711964679636075,0.09798229580106979,coarsening_worsens
HandWritten-Mfeat__TMC,native_nonvacuity,E177,P060,P052,3,2,0+2,-0.8561753048092938,0.13625531949436165,coarsening_worsens
HandWritten-Mfeat__TMC,native_nonvacuity,E178,P060,P056,3,2,1+2,-1.0508673670884452,-0.01303229084292809,coarsening_improves
HandWritten-Mfeat__TMC,native_nonvacuity,E179,P061,P004,4,3,0+1,-1.0711964679636075,0.10714519169974708,coarsening_worsens
HandWritten-Mfeat__TMC,native_nonvacuity,E180,P061,P054,4,3,0+2,-1.1564358871233997,0.23888723999322364,coarsening_worsens
HandWritten-Mfeat__TMC,native_nonvacuity,E181,P061,P057,4,3,1+2,-1.355865600593737,0.08821854469838918,coarsening_worsens
HandWritten-Mfeat__TMC,native_nonvacuity,E182,P061,P058,4,3,0+3,-1.5708870719128754,0.05653433180998467,coarsening_worsens
HandWritten-Mfeat__TMC,native_nonvacuity,E183,P061,P059,4,3,1+3,-1.6702142350070643,-0.01612244240419036,coarsening_improves
HandWritten-Mfeat__TMC,native_nonvacuity,E184,P061,P060,4,3,2+3,-1.5382598255267368,0.04063668248219561,coarsening_worsens
HandWritten-Mfeat__TMC,native_nonvacuity,E185,P062,P000,2,1,0+1,-0.4087293633976224,0.3471910912867976,coarsening_worsens
HandWritten-Mfeat__TMC,native_nonvacuity,E186,P063,P000,2,1,0+1,-0.5108131828917393,0.43138141292824994,coarsening_worsens
HandWritten-Mfeat__TMC,native_nonvacuity,E187,P064,P001,3,2,0+1,-0.6353632431732692,0.43581264701754907,coarsening_worsens
HandWritten-Mfeat__TMC,native_nonvacuity,E188,P064,P062,3,2,0+2,-1.4470402260979172,0.039503277038170026,coarsening_worsens
HandWritten-Mfeat__TMC,native_nonvacuity,E189,P064,P063,3,2,1+2,-1.3449564066038002,-0.044687044603282336,coarsening_improves
HandWritten-Mfeat__TMC,native_nonvacuity,E190,P065,P000,2,1,0+1,-0.33804024927630966,0.35644803751847065,coarsening_worsens
HandWritten-Mfeat__TMC,native_nonvacuity,E191,P066,P000,2,1,0+1,-4.749788060719947,0.4882605044171227,coarsening_worsens
HandWritten-Mfeat__TMC,native_nonvacuity,E192,P067,P001,3,2,0+1,-4.752136367387938,0.5375358183627063,coarsening_worsens
HandWritten-Mfeat__TMC,native_nonvacuity,E193,P067,P065,3,2,0+2,-5.634502464433899,0.1319695021516541,coarsening_worsens
HandWritten-Mfeat__TMC,native_nonvacuity,E194,P067,P066,3,2,1+2,-1.222754652990261,0.00015703525300206963,coarsening_worsens
HandWritten-Mfeat__TMC,native_nonvacuity,E195,P068,P002,3,2,0+1,-0.5086814912351982,0.04859170520919369,coarsening_worsens
