edge_id,fine_partition,coarse_partition,fine_components,coarse_components,merged_blocks
E313,P098,P097,4,3,2+3
E314,P099,P000,2,1,0+1
E315,P100,P000,2,1,0+1
E316,P101,P001,3,2,0+1
E317,P101,P099,3,2,0+2
E318,P101,P100,3,2,1+2
E319,P102,P000,2,1,0+1
E320,P103,P000,2,1,0+1
E321,P104,P001,3,2,0+1
E322,P104,P102,3,2,0+2
E323,P104,P103,3,2,1+2
E324,P105,P002,3,2,0+1
E325,P105,P099,3,2,0+2
E326,P105,P102,3,2,1+2
E327,P106,P002,3,2,0+1
E328,P106,P100,3,2,0+2
E329,P106,P103,3,2,1+2
E330,P107,P003,3,2,0+1
E331,P107,P099,3,2,0+2
E332,P107,P103,3,2,1+2
E333,P108,P004,4,3,0+1
E334,P108,P101,4,3,0+2
E335,P108,P104,4,3,1+2
E336,P108,P105,4,3,0+3
E337,P108,P106,4,3,1+3
E338,P108,P107,4,3,2+3
E339,P109,P005,3,2,0+1
E340,P109,P089,3,2,0+2
E341,P109,P099,3,2,1+2
E342,P110,P005,3,2,0+1
E343,P110,P090,3,2,0+2
E344,P110,P100,3,2,1+2
E345,P111,P006,3,2,0+1
E346,P111,P089,3,2,0+2
E347,P111,P100,3,2,1+2
E348,P112,P007,4,3,0+1
E349,P112,P091,4,3,0+2
E350,P112,P101,4,3,1+2
E351,P112,P109,4,3,0+3
E352,P112,P110,4,3,1+3
E353,P112,P111,4,3,2+3
E354,P113,P005,3,2,0+1
E355,P113,P092,3,2,0+2
E356,P113,P102,3,2,1+2
E357,P114,P005,3,2,0+1
E358,P114,P093,3,2,0+2
E359,P114,P103,3,2,1+2
E360,P115,P006,3,2,0+1
E361,P115,P092,3,2,0+2
E362,P115,P103,3,2,1+2
E363,P116,P007,4,3,0+1
E364,P116,P094,4,3,0+2
E365,P116,P104,4,3,1+2
E366,P116,P113,4,3,0+3
E367,P116,P114,4,3,1+3
E368,P116,P115,4,3,2+3
E369,P117,P008,3,2,0+1
E370,P117,P089,3,2,0+2
E371,P117,P102,3,2,1+2
E372,P118,P008,3,2,0+1
E373,P118,P090,3,2,0+2
E374,P118,P103,3,2,1+2
E375,P119,P009,3,2,0+1
E376,P119,P089,3,2,0+2
E377,P119,P103,3,2,1+2
E378,P120,P010,4,3,0+1
E379,P120,P091,4,3,0+2
E380,P120,P104,4,3,1+2
E381,P120,P117,4,3,0+3
E382,P120,P118,4,3,1+3
E383,P120,P119,4,3,2+3
E384,P121,P011,4,3,0+1
E385,P121,P095,4,3,0+2
E386,P121,P105,4,3,1+2
E387,P121,P109,4,3,0+3
E388,P121,P113,4,3,1+3
E389,P121,P117,4,3,2+3
E390,P122,P011,4,3,0+1
E391,P122,P096,4,3,0+2
E392,P122,P106,4,3,1+2
E393,P122,P110,4,3,0+3
E394,P122,P114,4,3,1+3
E395,P122,P118,4,3,2+3
E396,P123,P012,4,3,0+1
E397,P123,P095,4,3,0+2
E398,P123,P106,4,3,1+2
E399,P123,P111,4,3,0+3
E400,P123,P115,4,3,1+3
E401,P123,P119,4,3,2+3
E402,P124,P013,4,3,0+1
E403,P124,P097,4,3,0+2
E404,P124,P107,4,3,1+2
E405,P124,P109,4,3,0+3
E406,P124,P114,4,3,1+3
E407,P124,P119,4,3,2+3
E408,P125,P014,5,4,0+1
E409,P125,P098,5,4,0+2
E410,P125,P108,5,4,1+2
E411,P125,P112,5,4,0+3
E412,P125,P116,5,4,1+3
E413,P125,P120,5,4,2+3
E414,P125,P121,5,4,0+4
E415,P125,P122,5,4,1+4
E416,P125,P123,5,4,2+4
E417,P125,P124,5,4,3+4
E418,P126,P015,3,2,0+1
E419,P126,P052,3,2,0+2
E420,P126,P089,3,2,1+2
E421,P127,P015,3,2,0+1
E422,P127,P053,3,2,0+2
E423,P127,P090,3,2,1+2
E424,P128,P016,3,2,0+1
E425,P128,P052,3,2,0+2
E426,P128,P090,3,2,1+2
E427,P129,P017,4,3,0+1
E428,P129,P054,4,3,0+2
E429,P129,P091,4,3,1+2
E430,P129,P126,4,3,0+3
E431,P129,P127,4,3,1+3
E432,P129,P128,4,3,2+3
E433,P130,P015,3,2,0+1
E434,P130,P055,3,2,0+2
E435,P130,P092,3,2,1+2
E436,P131,P015,3,2,0+1
E437,P131,P056,3,2,0+2
E438,P131,P093,3,2,1+2
E439,P132,P016,3,2,0+1
E440,P132,P055,3,2,0+2
E441,P132,P093,3,2,1+2
E442,P133,P017,4,3,0+1
E443,P133,P057,4,3,0+2
E444,P133,P094,4,3,1+2
E445,P133,P130,4,3,0+3
E446,P133,P131,4,3,1+3
E447,P133,P132,4,3,2+3
E448,P134,P018,3,2,0+1
E449,P134,P052,3,2,0+2
E450,P134,P092,3,2,1+2
E451,P135,P018,3,2,0+1
E452,P135,P053,3,2,0+2
E453,P135,P093,3,2,1+2
E454,P136,P019,3,2,0+1
E455,P136,P052,3,2,0+2
E456,P136,P093,3,2,1+2
E457,P137,P020,4,3,0+1
E458,P137,P054,4,3,0+2
E459,P137,P094,4,3,1+2
E460,P137,P134,4,3,0+3
E461,P137,P135,4,3,1+3
E462,P137,P136,4,3,2+3
E463,P138,P021,4,3,0+1
E464,P138,P058,4,3,0+2
E465,P138,P095,4,3,1+2
E466,P138,P126,4,3,0+3
E467,P138,P130,4,3,1+3
E468,P138,P134,4,3,2+3
E469,P139,P021,4,3,0+1
E470,P139,P059,4,3,0+2
E471,P139,P096,4,3,1+2
E472,P139,P127,4,3,0+3
E473,P139,P131,4,3,1+3
E474,P139,P135,4,3,2+3
E475,P140,P022,4,3,0+1
E476,P140,P058,4,3,0+2
E477,P140,P096,4,3,1+2
E478,P140,P128,4,3,0+3
E479,P140,P132,4,3,1+3
E480,P140,P136,4,3,2+3
E481,P141,P023,4,3,0+1
E482,P141,P060,4,3,0+2
E483,P141,P097,4,3,1+2
E484,P141,P126,4,3,0+3
E485,P141,P131,4,3,1+3
E486,P141,P136,4,3,2+3
E487,P142,P024,5,4,0+1
E488,P142,P061,5,4,0+2
E489,P142,P098,5,4,1+2
E490,P142,P129,5,4,0+3
E491,P142,P133,5,4,1+3
E492,P142,P137,5,4,2+3
E493,P142,P138,5,4,0+4
E494,P142,P139,5,4,1+4
E495,P142,P140,5,4,2+4
E496,P142,P141,5,4,3+4
E497,P143,P015,3,2,0+1
E498,P143,P062,3,2,0+2
E499,P143,P099,3,2,1+2
E500,P144,P015,3,2,0+1
E501,P144,P063,3,2,0+2
E502,P144,P100,3,2,1+2
E503,P145,P016,3,2,0+1
E504,P145,P062,3,2,0+2
E505,P145,P100,3,2,1+2
E506,P146,P017,4,3,0+1
E507,P146,P064,4,3,0+2
E508,P146,P101,4,3,1+2
E509,P146,P143,4,3,0+3
E510,P146,P144,4,3,1+3
E511,P146,P145,4,3,2+3
E512,P147,P015,3,2,0+1
E513,P147,P065,3,2,0+2
E514,P147,P102,3,2,1+2
E515,P148,P015,3,2,0+1
E516,P148,P066,3,2,0+2
E517,P148,P103,3,2,1+2
E518,P149,P016,3,2,0+1
E519,P149,P065,3,2,0+2
E520,P149,P103,3,2,1+2
E521,P150,P017,4,3,0+1
E522,P150,P067,4,3,0+2
E523,P150,P104,4,3,1+2
E524,P150,P147,4,3,0+3
E525,P150,P148,4,3,1+3
E526,P150,P149,4,3,2+3
E527,P151,P018,3,2,0+1
E528,P151,P062,3,2,0+2
E529,P151,P102,3,2,1+2
E530,P152,P018,3,2,0+1
E531,P152,P063,3,2,0+2
E532,P152,P103,3,2,1+2
E533,P153,P019,3,2,0+1
