method,target_coverage,n,admitted,wrong,correct,coverage,wrong_all,wrong_admitted,correct_all
product_evidence_fusion,0.04,31200.0,1249.0,118.0,1131.0,0.040032051282051284,0.003782051282051282,0.0944755804643715,0.03625
product_evidence_fusion,0.05,31200.0,1557.0,155.0,1402.0,0.04990384615384615,0.004967948717948718,0.09955041746949261,0.04493589743589744
product_evidence_fusion,0.06,31200.0,1873.0,189.0,1684.0,0.06003205128205128,0.006057692307692307,0.1009076348104645,0.053974358974358976
product_evidence_fusion,0.07,31200.0,2185.0,213.0,1972.0,0.07003205128205128,0.006826923076923077,0.09748283752860412,0.0632051282051282
product_evidence_fusion,0.08,31200.0,2496.0,251.0,2245.0,0.08,0.008044871794871795,0.10056089743589744,0.0719551282051282
product_evidence_fusion,0.09,31200.0,2811.0,291.0,2520.0,0.09009615384615384,0.009326923076923076,0.10352187833511206,0.08076923076923077
product_evidence_fusion,0.1,31200.0,3122.0,315.0,2807.0,0.10006410256410256,0.010096153846153847,0.10089686098654709,0.08996794871794872
product_evidence_fusion,0.11,31200.0,3432.0,326.0,3106.0,0.11,0.01044871794871795,0.09498834498834499,0.09955128205128205
product_evidence_fusion,0.12,31200.0,3742.0,329.0,3413.0,0.11993589743589744,0.010544871794871794,0.08792089791555319,0.10939102564102564
product_evidence_fusion,0.13,31200.0,4058.0,330.0,3728.0,0.13006410256410256,0.010576923076923078,0.08132084770823066,0.11948717948717949
product_evidence_fusion,0.14,31200.0,4369.0,331.0,4038.0,0.1400320512820513,0.010608974358974359,0.07576104371709773,0.12942307692307692
product_evidence_fusion,0.15,31200.0,4675.0,331.0,4344.0,0.14983974358974358,0.010608974358974359,0.07080213903743315,0.13923076923076924
product_evidence_fusion,0.16,31200.0,4993.0,331.0,4662.0,0.16003205128205128,0.010608974358974359,0.06629280993390747,0.14942307692307694
product_evidence_fusion,0.17,31200.0,5302.0,333.0,4969.0,0.16993589743589743,0.010673076923076922,0.06280648811769143,0.1592628205128205
product_evidence_fusion,0.18,31200.0,5621.0,469.0,5152.0,0.1801602564102564,0.015032051282051283,0.08343711083437111,0.16512820512820514
product_evidence_fusion,0.19,31200.0,5927.0,696.0,5231.0,0.18996794871794873,0.022307692307692306,0.1174287160452168,0.16766025641025642
product_evidence_fusion,0.2,31200.0,6240.0,941.0,5299.0,0.2,0.03016025641025641,0.15080128205128204,0.1698397435897436
product_evidence_fusion,0.21,31200.0,6544.0,1197.0,5347.0,0.20974358974358975,0.038365384615384614,0.1829156479217604,0.17137820512820512
product_evidence_fusion,0.22,31200.0,6868.0,1480.0,5388.0,0.22012820512820513,0.047435897435897434,0.21549213744903903,0.1726923076923077
product_evidence_fusion,0.23,31200.0,7182.0,1750.0,5432.0,0.2301923076923077,0.05608974358974359,0.24366471734892786,0.1741025641025641
product_evidence_fusion,0.24,31200.0,7490.0,2030.0,5460.0,0.24006410256410257,0.06506410256410257,0.27102803738317754,0.175
product_evidence_fusion,0.25,31200.0,7796.0,2292.0,5504.0,0.24987179487179487,0.07346153846153847,0.2939969214982042,0.1764102564102564
product_evidence_fusion,0.26,31200.0,8111.0,2560.0,5551.0,0.2599679487179487,0.08205128205128205,0.3156207619282456,0.17791666666666667
product_evidence_fusion,0.27,31200.0,8423.0,2828.0,5595.0,0.2699679487179487,0.09064102564102564,0.3357473584233646,0.17932692307692308
product_evidence_fusion,0.28,31200.0,8733.0,3076.0,5657.0,0.27990384615384617,0.0985897435897436,0.35222718424367344,0.18131410256410257
product_evidence_fusion,0.29,31200.0,9045.0,3328.0,5717.0,0.2899038461538462,0.10666666666666667,0.3679380873410724,0.1832371794871795
product_evidence_fusion,0.3,31200.0,9362.0,3529.0,5833.0,0.30006410256410254,0.11310897435897437,0.3769493697927793,0.18695512820512822
product_evidence_fusion,0.31,31200.0,9676.0,3720.0,5956.0,0.3101282051282051,0.11923076923076924,0.3844563869367507,0.1908974358974359
product_evidence_fusion,0.32,31200.0,9982.0,3880.0,6102.0,0.31993589743589745,0.12435897435897436,0.38869965938689643,0.19557692307692306
product_evidence_fusion,0.33,31200.0,10296.0,4025.0,6271.0,0.33,0.12900641025641027,0.3909285159285159,0.20099358974358975
product_evidence_fusion,0.34,31200.0,10606.0,4155.0,6451.0,0.3399358974358974,0.13317307692307692,0.3917593814821799,0.20676282051282052
product_evidence_fusion,0.35,31200.0,10918.0,4261.0,6657.0,0.3499358974358974,0.13657051282051283,0.39027294376259386,0.21336538461538462
product_evidence_fusion,0.36,31200.0,11235.0,4379.0,6856.0,0.36009615384615384,0.1403525641025641,0.3897641299510458,0.21974358974358973
product_evidence_fusion,0.37,31200.0,11545.0,4494.0,7051.0,0.3700320512820513,0.14403846153846153,0.3892594196621914,0.22599358974358974
product_evidence_fusion,0.38,31200.0,11859.0,4612.0,7247.0,0.38009615384615386,0.1478205128205128,0.38890294291255584,0.23227564102564102
product_evidence_fusion,0.39,31200.0,12166.0,4767.0,7399.0,0.38993589743589746,0.15278846153846154,0.39182968929804374,0.2371474358974359
product_evidence_fusion,0.4,31200.0,12485.0,4972.0,7513.0,0.40016025641025643,0.15935897435897436,0.39823788546255506,0.24080128205128204
product_evidence_fusion,0.41,31200.0,12793.0,5210.0,7583.0,0.4100320512820513,0.16698717948717948,0.40725396701321037,0.2430448717948718
product_evidence_fusion,0.42,31200.0,13112.0,5460.0,7652.0,0.42025641025641025,0.175,0.4164124466137889,0.24525641025641026
product_evidence_fusion,0.43,31200.0,13415.0,5714.0,7701.0,0.42996794871794874,0.18314102564102563,0.425941110696981,0.24682692307692308
product_evidence_fusion,0.44,31200.0,13718.0,5956.0,7762.0,0.4396794871794872,0.1908974358974359,0.43417407785391454,0.24878205128205128
product_evidence_fusion,0.45,31200.0,14038.0,6209.0,7829.0,0.44993589743589746,0.19900641025641025,0.4422994728593817,0.25092948717948715
product_evidence_fusion,0.46,31200.0,14347.0,6449.0,7898.0,0.4598397435897436,0.20669871794871794,0.44950163797309545,0.25314102564102564
product_evidence_fusion,0.47,31200.0,14665.0,6707.0,7958.0,0.4700320512820513,0.21496794871794872,0.4573474258438459,0.25506410256410256
product_evidence_fusion,0.48,31200.0,14730.0,6760.0,7970.0,0.4721153846153846,0.21666666666666667,0.4589273591310251,0.25544871794871793
