method,target,n,admitted,wrong,correct,coverage,wrong_all,correct_all,wrong_admitted
nested_evidential_composition,0.36,31200,11230,7469,3761,0.35993589743589743,0.23939102564102563,0.12054487179487179,0.665093499554764
nested_evidential_composition,0.37,31200,11562,7619,3943,0.3705769230769231,0.24419871794871795,0.12637820512820513,0.6589690364988756
nested_evidential_composition,0.38,31200,11845,7743,4102,0.3796474358974359,0.2481730769230769,0.13147435897435897,0.6536935415787252
nested_evidential_composition,0.39,31200,12148,7874,4274,0.3893589743589744,0.2523717948717949,0.13698717948717948,0.6481725386894962
nested_evidential_composition,0.4,31200,12490,8036,4454,0.40032051282051284,0.25756410256410256,0.14275641025641025,0.6433947157726181
nested_evidential_composition,0.41,31200,12782,8176,4606,0.40967948717948716,0.26205128205128203,0.14762820512820513,0.6396495071193866
nested_evidential_composition,0.42,31200,13101,8337,4764,0.4199038461538461,0.26721153846153844,0.15269230769230768,0.6363636363636364
nested_evidential_composition,0.43,31200,13407,8484,4923,0.4297115384615385,0.27192307692307693,0.15778846153846154,0.6328037592302529
nested_evidential_composition,0.44,31200,13725,8661,5064,0.43990384615384615,0.2775961538461538,0.16230769230769232,0.6310382513661202
nested_evidential_composition,0.45,31200,14047,8859,5188,0.450224358974359,0.2839423076923077,0.16628205128205129,0.630668470135972
nested_evidential_composition,0.46,31200,14354,9090,5264,0.4600641025641026,0.29134615384615387,0.1687179487179487,0.6332729552737912
nested_evidential_composition,0.47,31200,14662,9369,5293,0.4699358974358974,0.30028846153846156,0.1696474358974359,0.6389987723366526
nested_evidential_composition,0.48,31200,14980,9673,5307,0.48012820512820514,0.3100320512820513,0.17009615384615384,0.6457276368491321
nested_evidential_composition,0.49,31200,15279,9963,5316,0.4897115384615385,0.31932692307692306,0.17038461538461538,0.6520714706459847
nested_evidential_composition,0.5,31200,15593,10265,5328,0.49977564102564104,0.32900641025641025,0.17076923076923076,0.6583082152247803
nested_evidential_composition,0.51,31200,15914,10563,5351,0.5100641025641026,0.3385576923076923,0.17150641025641025,0.6637551841146161
nested_evidential_composition,0.52,31200,16195,10830,5365,0.5190705128205129,0.3471153846153846,0.1719551282051282,0.6687249150972523
nested_evidential_composition,0.53,31200,16540,11152,5388,0.5301282051282051,0.35743589743589743,0.1726923076923077,0.6742442563482467
