method,target,n,admitted,wrong,correct,coverage,wrong_all,correct_all,wrong_admitted
nested_evidential_composition,0.18,31200,5622,389,5233,0.18019230769230768,0.012467948717948717,0.16772435897435897,0.06919245819992885
nested_evidential_composition,0.19,31200,5925,457,5468,0.18990384615384615,0.014647435897435897,0.17525641025641026,0.07713080168776372
nested_evidential_composition,0.2,31200,6232,527,5705,0.19974358974358974,0.01689102564102564,0.1828525641025641,0.08456354300385109
nested_evidential_composition,0.21,31200,6553,611,5942,0.21003205128205127,0.019583333333333335,0.19044871794871795,0.0932397375247978
nested_evidential_composition,0.22,31200,6865,671,6194,0.22003205128205128,0.021506410256410258,0.19852564102564102,0.09774217042971595
nested_evidential_composition,0.23,31200,7177,754,6423,0.2300320512820513,0.024166666666666666,0.20586538461538462,0.10505782360317681
nested_evidential_composition,0.24,31200,7490,847,6643,0.24006410256410257,0.027147435897435897,0.21291666666666667,0.1130841121495327
nested_evidential_composition,0.25,31200,7801,935,6866,0.2500320512820513,0.02996794871794872,0.22006410256410255,0.11985642866299193
nested_evidential_composition,0.26,31200,8113,1084,7029,0.26003205128205126,0.034743589743589744,0.22528846153846155,0.13361272032540367
nested_evidential_composition,0.27,31200,8428,1282,7146,0.2701282051282051,0.04108974358974359,0.22903846153846155,0.15211200759373517
nested_evidential_composition,0.28,31200,8740,1509,7231,0.28012820512820513,0.048365384615384616,0.23176282051282052,0.17265446224256292
nested_evidential_composition,0.29,31200,9042,1741,7301,0.2898076923076923,0.05580128205128205,0.23400641025641025,0.19254589692545898
nested_evidential_composition,0.3,31200,9357,1988,7369,0.29990384615384613,0.06371794871794872,0.23618589743589744,0.21246125895051832
nested_evidential_composition,0.31,31200,9669,2249,7420,0.30990384615384614,0.07208333333333333,0.2378205128205128,0.23259902782087083
nested_evidential_composition,0.32,31200,9985,2515,7470,0.32003205128205126,0.08060897435897436,0.23942307692307693,0.25187781672508763
nested_evidential_composition,0.33,31200,10295,2814,7481,0.3299679487179487,0.0901923076923077,0.23977564102564103,0.2733365711510442
nested_evidential_composition,0.34,31200,10607,3099,7508,0.3399679487179487,0.09932692307692308,0.24064102564102563,0.29216555105119263
nested_evidential_composition,0.35,31200,10907,3376,7531,0.34958333333333336,0.1082051282051282,0.24137820512820513,0.3095259924818924
