method,arm,metric,donor_macro,seed_sd,seed_min,seed_max,seeds,donors,records,pair_id,support_low,support_high
nested,registered_copy_m8,brier,0.15308167134386683,0.002108187845046052,0.15044927113468876,0.15559851554438367,5,6,200,HandWritten-Mfeat__TMC,0.1,0.9
nested,registered_copy_m8,ece_10bin,0.26177307009567924,0.0026119772870373354,0.25796711058184246,0.2643699172306368,5,6,200,HandWritten-Mfeat__TMC,0.1,0.9
nested,registered_copy_m8,risk_at_0p10,0.0,0.0,0.0,0.0,5,6,200,HandWritten-Mfeat__TMC,0.1,0.9
nested,registered_copy_m8,posterior_l1_from_native,0.3095247562094335,0.0035449815974369727,0.30366810955521667,0.31258722042620163,5,6,200,HandWritten-Mfeat__TMC,0.1,0.9
nested,registered_copy_m8,budget_ratio,nan,nan,nan,nan,5,6,200,HandWritten-Mfeat__TMC,0.1,0.9
nested,registered_copy_m8,top_class_flip_rate,0.009666666666666667,0.0016244657241348286,0.008333333333333333,0.012500000000000002,5,6,200,HandWritten-Mfeat__TMC,0.1,0.9
nested,false_split_m8,ncsAURC,0.004501311010423023,0.00014253998584519732,0.004330775662438843,0.004704239273089233,5,6,200,HandWritten-Mfeat__TMC,0.1,0.9
nested,false_split_m8,accuracy,0.9761666666666666,0.0012638125740086577,0.9741666666666665,0.9775,5,6,200,HandWritten-Mfeat__TMC,0.1,0.9
nested,false_split_m8,macro_f1,0.9760705713542684,0.001290858891512404,0.9740169262633961,0.9774125471590169,5,6,200,HandWritten-Mfeat__TMC,0.1,0.9
nested,false_split_m8,nll,0.4130044387433508,0.004888683480287339,0.4071685679208656,0.419058667820616,5,6,200,HandWritten-Mfeat__TMC,0.1,0.9
nested,false_split_m8,brier,0.15308167134386683,0.002108187845046052,0.15044927113468876,0.15559851554438367,5,6,200,HandWritten-Mfeat__TMC,0.1,0.9
nested,false_split_m8,ece_10bin,0.26177307009567924,0.0026119772870373354,0.25796711058184246,0.2643699172306368,5,6,200,HandWritten-Mfeat__TMC,0.1,0.9
nested,false_split_m8,risk_at_0p10,0.0,0.0,0.0,0.0,5,6,200,HandWritten-Mfeat__TMC,0.1,0.9
nested,false_split_m8,posterior_l1_from_native,0.3095247562094335,0.0035449815974369727,0.30366810955521667,0.31258722042620163,5,6,200,HandWritten-Mfeat__TMC,0.1,0.9
nested,false_split_m8,budget_ratio,nan,nan,nan,nan,5,6,200,HandWritten-Mfeat__TMC,0.1,0.9
nested,false_split_m8,top_class_flip_rate,0.009666666666666667,0.0016244657241348286,0.008333333333333333,0.012500000000000002,5,6,200,HandWritten-Mfeat__TMC,0.1,0.9
nested,all_view_merge,ncsAURC,7.936507936507954e-05,0.0,7.936507936507954e-05,7.936507936507954e-05,5,6,200,HandWritten-Mfeat__TMC,0.1,0.9
nested,all_view_merge,accuracy,0.9800000000000001,0.0,0.9800000000000001,0.9800000000000001,5,6,200,HandWritten-Mfeat__TMC,0.1,0.9
nested,all_view_merge,macro_f1,0.9799874921826142,0.0,0.9799874921826142,0.9799874921826142,5,6,200,HandWritten-Mfeat__TMC,0.1,0.9
nested,all_view_merge,nll,0.5330295732310922,0.0033697646658965826,0.5286668791713215,0.5373300824405683,5,6,200,HandWritten-Mfeat__TMC,0.1,0.9
nested,all_view_merge,brier,0.19162217523472375,0.0015611570544936371,0.18948480166545398,0.19355690261626438,5,6,200,HandWritten-Mfeat__TMC,0.1,0.9
nested,all_view_merge,ece_10bin,0.36254312878906886,0.0018392697824265807,0.36036548143783825,0.3648698665743466,5,6,200,HandWritten-Mfeat__TMC,0.1,0.9
nested,all_view_merge,risk_at_0p10,0.0,0.0,0.0,0.0,5,6,200,HandWritten-Mfeat__TMC,0.1,0.9
nested,all_view_merge,posterior_l1_from_native,0.0,0.0,0.0,0.0,5,6,200,HandWritten-Mfeat__TMC,0.1,0.9
nested,all_view_merge,budget_ratio,nan,nan,nan,nan,5,6,200,HandWritten-Mfeat__TMC,0.1,0.9
nested,all_view_merge,top_class_flip_rate,0.0,0.0,0.0,0.0,5,6,200,HandWritten-Mfeat__TMC,0.1,0.9
PACT,native,ncsAURC,0.0,0.0,0.0,0.0,5,6,400,HandWritten-Mfeat__RCML,0.1,0.9
PACT,native,accuracy,0.985,0.001767766952966331,0.9825,0.9874999999999999,5,6,400,HandWritten-Mfeat__RCML,0.1,0.9
PACT,native,macro_f1,0.9849936849860633,0.0017584511116764802,0.9824929647192177,0.9874663709473834,5,6,400,HandWritten-Mfeat__RCML,0.1,0.9
PACT,native,nll,0.3952471129988477,0.0009660938302984185,0.39416809510959405,0.39620011444303166,5,6,400,HandWritten-Mfeat__RCML,0.1,0.9
PACT,native,brier,0.1256274865496153,0.00046637033561211565,0.12506285746682513,0.12608270570157287,5,6,400,HandWritten-Mfeat__RCML,0.1,0.9
PACT,native,ece_10bin,0.2866648710316639,0.001557467246533946,0.2845204405488136,0.2887427239534937,5,6,400,HandWritten-Mfeat__RCML,0.1,0.9
PACT,native,risk_at_0p10,0.0,0.0,0.0,0.0,5,6,400,HandWritten-Mfeat__RCML,0.1,0.9
PACT,native,posterior_l1_from_native,0.0,0.0,0.0,0.0,5,6,400,HandWritten-Mfeat__RCML,0.1,0.9
PACT,native,budget_ratio,1.0,0.0,1.0,1.0,5,6,400,HandWritten-Mfeat__RCML,0.1,0.9
PACT,native,top_class_flip_rate,0.0,0.0,0.0,0.0,5,6,400,HandWritten-Mfeat__RCML,0.1,0.9
PACT,registered_copy_m8,ncsAURC,0.0,0.0,0.0,0.0,5,6,400,HandWritten-Mfeat__RCML,0.1,0.9
PACT,registered_copy_m8,accuracy,0.985,0.001767766952966331,0.9825,0.9874999999999999,5,6,400,HandWritten-Mfeat__RCML,0.1,0.9
PACT,registered_copy_m8,macro_f1,0.9849936849860633,0.0017584511116764802,0.9824929647192177,0.9874663709473834,5,6,400,HandWritten-Mfeat__RCML,0.1,0.9
PACT,registered_copy_m8,nll,0.3952471129988477,0.0009660938302984185,0.39416809510959405,0.39620011444303166,5,6,400,HandWritten-Mfeat__RCML,0.1,0.9
