setting_id,language_pmax,dirichlet_kappa,quality_multiplier,conflict_multiplier,occlusion_strength,records,dirichlet_projection_fallbacks,nested_naurc,pooling_naurc,pact_naurc,pact_minus_nested_naurc,pact_minus_pooling_naurc,nested_coverage,pooling_coverage,pact_coverage,nested_wrong_all,pooling_wrong_all,pact_wrong_all,nested_wrong_admitted,pooling_wrong_admitted,pact_wrong_admitted,nested_correct_all,pooling_correct_all,pact_correct_all,nested_clean_coverage,pooling_clean_coverage,pact_clean_coverage
159,0.75,100.0,1.0938598465174438,1.1297167606651783,1.0,31200,0,0.12799411650782427,0.21878045729444898,0.06695811246700563,-0.061036004040818645,-0.15182234482744333,0.13102564102564102,0.13115384615384615,0.1310897435897436,0.0015705128205128205,0.011217948717948718,0.0,0.011986301369863013,0.0855327468230694,0.0,0.1294551282051282,0.11993589743589744,0.1310897435897436,0.84125,0.76,0.84625
160,0.75,100.0,1.1575719699263574,1.0855176728218794,0.5,31200,0,0.1295649518817407,0.23129102499381696,0.06655315405151092,-0.06301179783022977,-0.16473787094230602,0.13105769230769232,0.1310897435897436,0.13125,0.0015064102564102564,0.014903846153846155,0.0,0.011494252873563218,0.1136919315403423,0.0,0.12955128205128205,0.11618589743589744,0.13125,0.89875,0.7091666666666666,0.88
161,0.95,50.0,0.9694201763719321,0.8386676996946335,1.5,31200,0,0.11218293229020208,0.1997006503306843,0.06708362756071685,-0.04509930472948523,-0.13261702276996745,0.13118589743589743,0.13105769230769232,0.13121794871794873,0.0,0.010480769230769231,0.0,0.0,0.07997065297138664,0.0,0.13118589743589743,0.12057692307692308,0.13121794871794873,0.8354166666666667,0.7766666666666666,0.845
162,0.9,200.0,1.0682088419795037,1.159160787984729,1.0,31200,0,0.11295066748354297,0.19931787884353022,0.066811512858563,-0.04613915462497997,-0.13250636598496723,0.13102564102564102,0.13128205128205128,0.13099358974358974,0.0,0.010544871794871794,0.0,0.0,0.080322265625,0.0,0.13102564102564102,0.12073717948717949,0.13099358974358974,0.8391666666666666,0.7641666666666667,0.8479166666666667
163,0.65,100.0,0.8547976609319449,0.9185089230537415,1.0,31200,0,0.16870073727031998,0.24135980532205836,0.0672621002809883,-0.10143863698933168,-0.17409770504107008,0.1307371794871795,0.13134615384615383,0.13128205128205128,0.008685897435897436,0.016025641025641024,0.0,0.06643785241480755,0.12201073694485115,0.0,0.12205128205128205,0.11532051282051282,0.13128205128205128,0.86375,0.7179166666666666,0.8675
164,0.65,200.0,0.9395381655544043,0.9602029599249363,0.5,31200,0,0.14025184797804194,0.24267713613500574,0.066444753260333,-0.07380709471770894,-0.17623238287467274,0.13096153846153846,0.1310897435897436,0.13105769230769232,0.00375,0.018814102564102562,0.0,0.028634361233480177,0.143520782396088,0.0,0.12721153846153846,0.11227564102564103,0.13105769230769232,0.90125,0.65625,0.88125
165,0.9,100.0,1.128080476820469,1.1133041594177486,1.5,31200,0,0.11425005037654191,0.20027136208878105,0.06698441386031596,-0.04726563651622595,-0.1332869482284651,0.13131410256410256,0.13134615384615383,0.13115384615384615,0.0,0.010480769230769231,0.0,0.0,0.07979502196193265,0.0,0.13131410256410256,0.12086538461538461,0.13115384615384615,0.7904166666666667,0.77875,0.7995833333333333
166,0.95,100.0,0.834681310877204,0.8841825313866138,1.5,31200,0,0.1085102315723141,0.18497484267523626,0.06674825708507298,-0.041761974487241116,-0.11822658559016327,0.13118589743589743,0.13137820512820514,0.13125,0.0004487179487179487,0.010576923076923078,0.0,0.0034204739799657954,0.08050744083922907,0.0,0.1307371794871795,0.12080128205128206,0.13125,0.82375,0.7641666666666667,0.835
167,0.85,50.0,1.04770178347826,1.0435794953256847,0.5,31200,0,0.12256934414667865,0.21455420652750262,0.06658991972270477,-0.055979424423973884,-0.14796428680479784,0.13150641025641024,0.13131410256410256,0.13121794871794873,0.0008653846153846154,0.011025641025641025,0.0,0.006580550816475749,0.08396387600683426,0.0,0.13064102564102564,0.12028846153846154,0.13121794871794873,0.905,0.74375,0.8820833333333333
168,0.85,200.0,0.819935991242528,1.1312728337943554,1.5,31200,0,0.10724681463244388,0.18798553613304392,0.06667476686360115,-0.04057204776884274,-0.12131076926944277,0.13134615384615383,0.13128205128205128,0.13125,0.0005448717948717948,0.010608974358974359,0.0,0.004148365056124939,0.080810546875,0.0,0.13080128205128205,0.12067307692307692,0.13125,0.7925,0.7666666666666667,0.8179166666666666
169,0.9,50.0,1.006976564973593,0.9906729329377413,0.5,31200,0,0.11965215674951318,0.20867937331477773,0.06703086251036854,-0.05262129423914465,-0.1416485108044092,0.13153846153846155,0.1307371794871795,0.13118589743589743,0.0001923076923076923,0.010608974358974359,0.0,0.0014619883040935672,0.08114734003432214,0.0,0.13134615384615383,0.12012820512820513,0.13118589743589743,0.8866666666666667,0.745,0.8804166666666666
170,0.9,100.0,0.9058445293456316,1.0115504704415799,1.0,31200,0,0.11435141329293941,0.20033967432195576,0.06721712859907832,-0.04713428469386109,-0.13312254572287746,0.13153846153846155,0.13067307692307692,0.13115384615384615,6.41025641025641e-05,0.010576923076923078,0.0,0.0004873294346978557,0.08094186902133922,0.0,0.13147435897435897,0.12009615384615385,0.13115384615384615,0.845,0.7558333333333334,0.8575
