pairing,is_registered,accuracy,negative_log_likelihood,unnormalized_multiclass_brier,adaptive_ece_10,ncsAURC,mean_evidence_budget,mean_budget_ratio_to_registered,mean_posterior_l1_drift
qwen3vl_8b+internvl3_2b;qwen3vl_32b+smolvlm2_0_5b;internvl3_8b+llava_onevision_0_5b;llava_onevision_7b+smolvlm2_2_2b,False,0.8661347517730497,0.5800513611957271,0.388407162417376,0.29515404809077145,0.16451374284607836,5.588741786245385,0.8053700620152077,0.022080348514171084
qwen3vl_8b+internvl3_2b;qwen3vl_32b+smolvlm2_0_5b;internvl3_8b+llava_onevision_7b;llava_onevision_0_5b+smolvlm2_2_2b,False,0.8661347517730497,0.5817619924792958,0.3900486772889074,0.2962837551591733,0.16456145996075577,5.723340533232356,0.8253164409380592,0.01986491520496081
qwen3vl_8b+internvl3_2b;qwen3vl_32b+smolvlm2_0_5b;internvl3_8b+smolvlm2_2_2b;llava_onevision_0_5b+llava_onevision_7b,False,0.8661347517730497,0.5816484679444578,0.3899308213481805,0.2961846790950684,0.16446814736885315,5.672958729464171,0.8174935891104247,0.02031232790820994
qwen3vl_8b+internvl3_2b;qwen3vl_32b+smolvlm2_2_2b;internvl3_8b+llava_onevision_0_5b;llava_onevision_7b+smolvlm2_0_5b,False,0.8661347517730497,0.581231469452694,0.38954577978291305,0.2960271785042339,0.16458493806541602,5.701650719630005,0.8209007918800614,0.020352604830185902
qwen3vl_8b+internvl3_2b;qwen3vl_32b+smolvlm2_2_2b;internvl3_8b+llava_onevision_7b;llava_onevision_0_5b+smolvlm2_0_5b,False,0.8661347517730497,0.5828943052998233,0.39114083648356124,0.2971209190393966,0.1647076400512467,5.832987389902298,0.8403867187414048,0.01820884051439009
qwen3vl_8b+internvl3_2b;qwen3vl_32b+smolvlm2_2_2b;internvl3_8b+smolvlm2_0_5b;llava_onevision_0_5b+llava_onevision_7b,False,0.8661347517730497,0.5819349210709536,0.390215847110996,0.2964788385854308,0.1645558192491144,5.738330096630113,0.8261984285249027,0.019448747924538375
qwen3vl_8b+internvl3_8b;qwen3vl_32b+internvl3_2b;llava_onevision_0_5b+llava_onevision_7b;smolvlm2_0_5b+smolvlm2_2_2b,False,0.8661347517730497,0.5877986003241127,0.3958016469700396,0.2999549365642812,0.16438929252757578,5.985615856505466,0.8662470360116304,0.016125816807581492
qwen3vl_8b+internvl3_8b;qwen3vl_32b+internvl3_2b;llava_onevision_0_5b+smolvlm2_0_5b;llava_onevision_7b+smolvlm2_2_2b,False,0.8661347517730497,0.5867740628331495,0.39481527986181,0.2992637900851234,0.16445742073792613,5.910421102997021,0.8553207376956473,0.016944211295790393
qwen3vl_8b+internvl3_8b;qwen3vl_32b+internvl3_2b;llava_onevision_0_5b+smolvlm2_2_2b;llava_onevision_7b+smolvlm2_0_5b,False,0.8661347517730497,0.5868079144830488,0.39484820330752357,0.29928757537602557,0.1645020983654937,5.913683179711699,0.8557811897571556,0.016925144332810622
qwen3vl_8b+internvl3_8b;qwen3vl_32b+llava_onevision_0_5b;internvl3_2b+llava_onevision_7b;smolvlm2_0_5b+smolvlm2_2_2b,False,0.8661347517730497,0.5871906947740675,0.39523550996175616,0.29991732240115937,0.16404948036128103,6.049561503680921,0.87265420931736,0.014039430090788991
qwen3vl_8b+internvl3_8b;qwen3vl_32b+llava_onevision_0_5b;internvl3_2b+smolvlm2_0_5b;llava_onevision_7b+smolvlm2_2_2b,False,0.8661347517730497,0.5831316471964697,0.3913342492418416,0.2970433155534734,0.1645018387288206,5.718174124327674,0.8240757995519318,0.018687824348573155
qwen3vl_8b+internvl3_8b;qwen3vl_32b+llava_onevision_0_5b;internvl3_2b+smolvlm2_2_2b;llava_onevision_7b+smolvlm2_0_5b,False,0.8661347517730497,0.5831316471964698,0.3913342492418416,0.2970433155534734,0.1645018387288206,5.718174124327674,0.8240757995519318,0.018687824348573155
qwen3vl_8b+internvl3_8b;qwen3vl_32b+llava_onevision_7b;internvl3_2b+llava_onevision_0_5b;smolvlm2_0_5b+smolvlm2_2_2b,False,0.8661347517730497,0.5859575865977511,0.3940376433175802,0.29883719805488346,0.16427918746834957,5.882884398311651,0.8495656044069116,0.016125092898964202
qwen3vl_8b+internvl3_8b;qwen3vl_32b+llava_onevision_7b;internvl3_2b+smolvlm2_0_5b;llava_onevision_0_5b+smolvlm2_2_2b,False,0.8661347517730497,0.5849302043736581,0.3930505259194291,0.2981458245286794,0.1643982227297032,5.810842441533836,0.8390850575174886,0.01723849966215701
qwen3vl_8b+internvl3_8b;qwen3vl_32b+llava_onevision_7b;internvl3_2b+smolvlm2_2_2b;llava_onevision_0_5b+smolvlm2_0_5b,False,0.8661347517730497,0.5848951725601333,0.3930165374736611,0.29812125651103305,0.16434791637310264,5.807580364819156,0.8386246054559802,0.017278186636135055
qwen3vl_8b+internvl3_8b;qwen3vl_32b+smolvlm2_0_5b;internvl3_2b+llava_onevision_0_5b;llava_onevision_7b+smolvlm2_2_2b,False,0.8661347517730497,0.5837503490046617,0.39192928900364765,0.297487767749665,0.16440472745658483,5.766977475838455,0.8307728178637188,0.01779750442949598
